"Length","source-destination"
55,"172.16.254.128,216.58.208.206"
60,"216.58.208.206,172.16.254.128"
55,"172.16.254.128,216.58.208.226"
60,"216.58.208.226,172.16.254.128"
73,"172.16.254.128,8.8.8.8"
89,"8.8.8.8,172.16.254.128"
66,"172.16.254.128,216.58.208.227"
66,"172.16.254.128,216.58.208.227"
60,"216.58.208.227,172.16.254.128"
54,"172.16.254.128,216.58.208.227"
571,"172.16.254.128,216.58.208.227"
60,"216.58.208.227,172.16.254.128"
42,"Vmware_b6:b5:48,Broadcast"
60,"216.58.208.227,172.16.254.128"
54,"172.16.254.128,216.58.208.227"
207,"216.58.208.227,172.16.254.128"
270,"172.16.254.128,216.58.208.227"
60,"216.58.208.227,172.16.254.128"
571,"172.16.254.128,216.58.208.227"
60,"216.58.208.227,172.16.254.128"
110,"216.58.208.227,172.16.254.128"
96,"216.58.208.227,172.16.254.128"
54,"172.16.254.128,216.58.208.227"
207,"216.58.208.227,172.16.254.128"
270,"172.16.254.128,216.58.208.227"
60,"216.58.208.227,172.16.254.128"
110,"216.58.208.227,172.16.254.128"
96,"216.58.208.227,172.16.254.128"
54,"172.16.254.128,216.58.208.227"
107,"172.16.254.128,216.58.208.227"
104,"172.16.254.128,216.58.208.227"
60,"216.58.208.227,172.16.254.128"
60,"216.58.208.227,172.16.254.128"
96,"172.16.254.128,216.58.208.227"
60,"216.58.208.227,172.16.254.128"
92,"172.16.254.128,216.58.208.227"
565,"172.16.254.128,216.58.208.227"
60,"216.58.208.227,172.16.254.128"
60,"216.58.208.227,172.16.254.128"
92,"216.58.208.227,172.16.254.128"
229,"216.58.208.227,172.16.254.128"
54,"172.16.254.128,216.58.208.227"
1514,"216.58.208.227,172.16.254.128"
1394,"216.58.208.227,172.16.254.128"
54,"172.16.254.128,216.58.208.227"
1454,"216.58.208.227,172.16.254.128"
1514,"216.58.208.227,172.16.254.128"
1514,"216.58.208.227,172.16.254.128"
1334,"216.58.208.227,172.16.254.128"
1454,"216.58.208.227,172.16.254.128"
1454,"216.58.208.227,172.16.254.128"
54,"172.16.254.128,216.58.208.227"
1472,"216.58.208.227,172.16.254.128"
1436,"216.58.208.227,172.16.254.128"
54,"172.16.254.128,216.58.208.227"
1514,"216.58.208.227,172.16.254.128"
144,"216.58.208.227,172.16.254.128"
54,"172.16.254.128,216.58.208.227"
100,"172.16.254.128,216.58.208.227"
60,"216.58.208.227,172.16.254.128"
143,"172.16.254.128,216.58.208.227"
60,"216.58.208.227,172.16.254.128"
75,"172.16.254.128,8.8.8.8"
91,"8.8.8.8,172.16.254.128"
66,"172.16.254.128,216.58.208.227"
60,"216.58.208.227,172.16.254.128"
54,"172.16.254.128,216.58.208.227"
571,"172.16.254.128,216.58.208.227"
60,"216.58.208.227,172.16.254.128"
203,"216.58.208.227,172.16.254.128"
105,"172.16.254.128,216.58.208.227"
60,"216.58.208.227,172.16.254.128"
107,"172.16.254.128,216.58.208.227"
60,"216.58.208.227,172.16.254.128"
169,"216.58.208.227,172.16.254.128"
104,"172.16.254.128,216.58.208.227"
60,"216.58.208.227,172.16.254.128"
96,"172.16.254.128,216.58.208.227"
60,"216.58.208.227,172.16.254.128"
400,"172.16.254.128,216.58.208.227"
60,"216.58.208.227,172.16.254.128"
526,"216.58.208.227,172.16.254.128"
54,"172.16.254.128,216.58.208.227"
100,"172.16.254.128,216.58.208.227"
60,"216.58.208.227,172.16.254.128"
129,"172.16.254.128,216.58.208.227"
136,"172.16.254.128,216.58.208.227"
60,"216.58.208.227,172.16.254.128"
60,"216.58.208.227,172.16.254.128"
152,"216.58.208.227,172.16.254.128"
92,"172.16.254.128,216.58.208.227"
60,"216.58.208.227,172.16.254.128"
92,"216.58.208.227,172.16.254.128"
305,"216.58.208.227,172.16.254.128"
54,"172.16.254.128,216.58.208.227"
853,"216.58.208.227,172.16.254.128"
100,"216.58.208.227,172.16.254.128"
54,"172.16.254.128,216.58.208.227"
100,"172.16.254.128,216.58.208.227"
60,"216.58.208.227,172.16.254.128"
140,"172.16.254.128,216.58.208.227"
60,"216.58.208.227,172.16.254.128"
245,"172.16.254.128,216.58.208.227"
60,"216.58.208.227,172.16.254.128"
42,"Vmware_b6:b5:48,Broadcast"
267,"216.58.208.227,172.16.254.128"
1514,"216.58.208.227,172.16.254.128"
1514,"216.58.208.227,172.16.254.128"
1514,"216.58.208.227,172.16.254.128"
1514,"216.58.208.227,172.16.254.128"
1514,"216.58.208.227,172.16.254.128"
1154,"216.58.208.227,172.16.254.128"
54,"172.16.254.128,216.58.208.227"
1454,"216.58.208.227,172.16.254.128"
1454,"216.58.208.227,172.16.254.128"
54,"172.16.254.128,216.58.208.227"
1454,"216.58.208.227,172.16.254.128"
1454,"216.58.208.227,172.16.254.128"
54,"172.16.254.128,216.58.208.227"
1514,"216.58.208.227,172.16.254.128"
1394,"216.58.208.227,172.16.254.128"
54,"172.16.254.128,216.58.208.227"
1454,"216.58.208.227,172.16.254.128"
1454,"216.58.208.227,172.16.254.128"
54,"172.16.254.128,216.58.208.227"
1454,"216.58.208.227,172.16.254.128"
1454,"216.58.208.227,172.16.254.128"
54,"172.16.254.128,216.58.208.227"
1454,"216.58.208.227,172.16.254.128"
96,"172.16.254.128,216.58.208.227"
60,"216.58.208.227,172.16.254.128"
1454,"216.58.208.227,172.16.254.128"
1454,"216.58.208.227,172.16.254.128"
54,"172.16.254.128,216.58.208.227"
1454,"216.58.208.227,172.16.254.128"
1514,"216.58.208.227,172.16.254.128"
1514,"216.58.208.227,172.16.254.128"
1514,"216.58.208.227,172.16.254.128"
1514,"216.58.208.227,172.16.254.128"
1096,"216.58.208.227,172.16.254.128"
54,"172.16.254.128,216.58.208.227"
1514,"216.58.208.227,172.16.254.128"
1514,"216.58.208.227,172.16.254.128"
1514,"216.58.208.227,172.16.254.128"
1514,"216.58.208.227,172.16.254.128"
1514,"216.58.208.227,172.16.254.128"
1208,"216.58.208.227,172.16.254.128"
54,"172.16.254.128,216.58.208.227"
1514,"216.58.208.227,172.16.254.128"
1430,"216.58.208.227,172.16.254.128"
1472,"216.58.208.227,172.16.254.128"
54,"172.16.254.128,216.58.208.227"
1472,"216.58.208.227,172.16.254.128"
1472,"216.58.208.227,172.16.254.128"
54,"172.16.254.128,216.58.208.227"
1514,"216.58.208.227,172.16.254.128"
1514,"216.58.208.227,172.16.254.128"
1514,"216.58.208.227,172.16.254.128"
1514,"216.58.208.227,172.16.254.128"
1514,"216.58.208.227,172.16.254.128"
1514,"216.58.208.227,172.16.254.128"
1514,"216.58.208.227,172.16.254.128"
1514,"216.58.208.227,172.16.254.128"
1514,"216.58.208.227,172.16.254.128"
1514,"216.58.208.227,172.16.254.128"
1514,"216.58.208.227,172.16.254.128"
1514,"216.58.208.227,172.16.254.128"
1514,"216.58.208.227,172.16.254.128"
1514,"216.58.208.227,172.16.254.128"
1514,"216.58.208.227,172.16.254.128"
1514,"216.58.208.227,172.16.254.128"
1514,"216.58.208.227,172.16.254.128"
1514,"216.58.208.227,172.16.254.128"
1514,"216.58.208.227,172.16.254.128"
1514,"216.58.208.227,172.16.254.128"
1514,"216.58.208.227,172.16.254.128"
1514,"216.58.208.227,172.16.254.128"
1514,"216.58.208.227,172.16.254.128"
1514,"216.58.208.227,172.16.254.128"
1514,"216.58.208.227,172.16.254.128"
1514,"216.58.208.227,172.16.254.128"
437,"216.58.208.227,172.16.254.128"
54,"172.16.254.128,216.58.208.227"
54,"172.16.254.128,216.58.208.227"
100,"172.16.254.128,216.58.208.227"
