"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","172.16.254.128","216.58.208.206","SSL","55","Continuation Data"
"11","3.496481","172.16.254.128","216.58.208.227","TLSv1.2","571","Client Hello"
"16","3.519774","216.58.208.227","172.16.254.128","TLSv1.2","207","Server Hello, Change Cipher Spec, Hello Request, Hello Request"
"17","3.561668","172.16.254.128","216.58.208.227","TLSv1.2","270","Change Cipher Spec, Hello Request, Hello Request, Hello Request, Hello Request"
"19","3.562470","172.16.254.128","216.58.208.227","TLSv1.2","571","Client Hello"
"21","3.581511","216.58.208.227","172.16.254.128","TLSv1.2","110","Application Data"
"22","3.582360","216.58.208.227","172.16.254.128","TLSv1.2","96","Application Data"
"24","3.612563","216.58.208.227","172.16.254.128","TLSv1.2","207","Server Hello, Change Cipher Spec, Hello Request, Hello Request"
"25","3.616229","172.16.254.128","216.58.208.227","TLSv1.2","270","Change Cipher Spec, Hello Request, Hello Request, Hello Request, Hello Request"
"27","3.642040","216.58.208.227","172.16.254.128","TLSv1.2","110","Application Data"
"28","3.642412","216.58.208.227","172.16.254.128","TLSv1.2","96","Application Data"
"30","3.812247","172.16.254.128","216.58.208.227","TLSv1.2","107","Application Data"
"31","3.812428","172.16.254.128","216.58.208.227","TLSv1.2","104","Application Data"
"34","3.812756","172.16.254.128","216.58.208.227","TLSv1.2","96","Application Data"
"36","3.813159","172.16.254.128","216.58.208.227","TLSv1.2","92","Application Data"
"37","3.813310","172.16.254.128","216.58.208.227","TLSv1.2","565","Application Data"
"40","3.874016","216.58.208.227","172.16.254.128","TLSv1.2","92","Application Data"
"41","3.894909","216.58.208.227","172.16.254.128","TLSv1.2","229","Application Data"
"43","3.896996","216.58.208.227","172.16.254.128","TLSv1.2","1514","Application Data"
"44","3.896997","216.58.208.227","172.16.254.128","TLSv1.2","1394","Application Data"
"46","3.904201","216.58.208.227","172.16.254.128","TLSv1.2","1454","Application Data"
"47","3.914730","216.58.208.227","172.16.254.128","TLSv1.2","1514","Application Data"
"48","3.914731","216.58.208.227","172.16.254.128","TLSv1.2","1514","Application Data[TCP segment of a reassembled PDU]"
"49","3.914732","216.58.208.227","172.16.254.128","TLSv1.2","1334","Application Data"
"50","3.914732","216.58.208.227","172.16.254.128","TLSv1.2","1454","Application Data"
"51","3.914733","216.58.208.227","172.16.254.128","TLSv1.2","1454","Application Data"
"53","3.916040","216.58.208.227","172.16.254.128","TLSv1.2","1472","Application Data"
"54","3.916184","216.58.208.227","172.16.254.128","TLSv1.2","1436","Application Data"
"56","3.920124","216.58.208.227","172.16.254.128","TLSv1.2","1514","Application Data"
"57","3.920126","216.58.208.227","172.16.254.128","TLSv1.2","144","Application Data, Application Data"
"59","3.920688","172.16.254.128","216.58.208.227","TLSv1.2","100","Application Data"
"61","3.926789","172.16.254.128","216.58.208.227","TLSv1.2","143","Application Data"
"68","3.972140","172.16.254.128","216.58.208.227","TLSv1.2","571","Client Hello"
"70","3.997711","216.58.208.227","172.16.254.128","TLSv1.2","203","Server Hello, Change Cipher Spec, Hello Request, Hello Request"
